Industry,Year,Contribution_by_Gdp,Growth_of_GDP,"0 - 9,999","10,000 - 14999","15,000 - 19999","20,000 - 24999","25,000 - 29999","30,000 - 49999","50,000 - 99999",100000+,TOTAL
"Agriculture, Forestry And Fishing",2017,34.8,1.9,7225,13137,44255,28262,49063,133384,53516,3263,332105
Mining And Quarrying,2017,0.8,4.5,258,248,3882,1770,2785,3164,2971,-,15079
Manufacturing,2017,8,0.5,1085,1308,9808,27820,44289,88576,124458,6034,303378
"Electricity, Gas, Steam And Air Conditioning Supply",2017,1.8,8.9,-,90,170,4206,1120,2374,9665,1310,18934
"Water Supply; Sewerage, Waste Management And Remediation Activities",2017,0.7,2.6,-,-,-,4356,3555,4293,1472,885,14562
Construction,2017,5.6,8.5,-,3133,4359,27638,17896,66198,43845,4840,167910
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2017,7.4,5.7,431,1381,4910,13893,35886,90247,93506,10504,250758
Transportation And Storage,2017,7.5,7.2,710,586,953,10730,9189,30796,33402,1530,87895
Accommodation And Food Service Activities,2017,0.7,14.3,238,157,610,9671,16178,29350,21279,2296,79780
Information And Communication,2017,1.3,11,748,971,1491,7084,13327,52922,36891,3699,117133
Financial And Insurance Activities,2017,7.1,2.8,-,-,1891,8036,2869,9946,44504,7466,74712
Real Estate Activities,2017,0.8,6.1,244,336,200,369,713,1219,1010,130,4220
"Professional, Scientific And Technical Activities",2017,0.9,4.5,1739,3511,1054,6776,15640,20497,22895,1710,73823
Administrative And Support Service Activities,2017,3.6,3,114,204,566,853,1733,1304,787,193,5754
Public Administration And Defence; Compulsory Social Security,2017,4,6.5,1510,1850,24476,26544,15634,124197,91552,6831,292594
Education,2017,1.5,5.1,1231,4532,14966,3435,58961,137885,282385,56221,559617
Human Health And Social Work Activities,2017,0.1,4.3,-,897,8090,11333,57963,47080,11390,6005,142759
"Arts, Entertainment And Recreation",2017,0.6,7,-,46,844,1423,2241,1170,864,542,7129
Other Service Activities,2017,0.4,7,-,527,1056,4287,10758,10743,6627,693,34691
Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2017,-2,1.6,-,315,907,9534,22437,39039,43133,-,115365
Activities Of Extraterritorial Organizations And Bodies,2017,8.3,4.8,-,-,-,226,110,336,348,256,1276
